	medoids	medoids_index	medoids_GR	itemset	itemset_index	itemset_GR	item	item_index	item_GR	itemset*GR	itemset*GR_index	itemset*GR_GR	item*GR	item*GR_index	item*GR_GR	itemset*recouvrement	itemset*recouvrement_index	itemset*recouvrement_GR	item*recouvrement	item*recouvrement_index	item*recouvrement_GR
72	{form_acquisition} {wp_▁localisation} {form_acquisition} {wp_▁localisation}	[{12005}, {11965}, {12005}, {11965}]	0.2569832402234637	{form_acquisition} {wp_▁localisation} {wp_▁localisation}	[{12005}, {11965}, {11965}]	93.0	{form_acquisition} {wp_▁localisation} {wp_▁localisation}	[{12005}, {11965}, {11965}]	93.0	{form_acquisition} {wp_▁localisation} {wp_▁localisation}	[{12005}, {11965}, {11965}]	93.0	{form_acquisition} {wp_▁localisation} {wp_▁localisation}	[{12005}, {11965}, {11965}]	93.0	{form_acquisition} {wp_▁localisation} {wp_▁localisation} {dep__}	[{12005}, {11965}, {11965}, {6}]	0.27932960893854747	{form_acquisition} {wp_▁localisation} {wp_▁localisation} {dep__}	[{12005}, {11965}, {11965}, {6}]	0.27932960893854747
73	{form_caractérise,wp_▁caractérise,form_bus} {wp_▁localisation}	[{12241, 12242, 12087}, {11965}]	65.0	{form_bus} {wp_▁localisation}	[{12087}, {11965}]	98.0	{form_caractérise,wp_▁caractérise,form_centraux,form_bus,wp_▁Historique}	[{12241, 12242, 12243, 12087, 11962}]	0.2681564245810056	{form_bus} {wp_▁localisation}	[{12087}, {11965}]	98.0	{form_caractérise,wp_▁caractérise,form_centraux,form_bus}	[{12241, 12242, 12243, 12087}]	67.0	{wp_▁localisation} {form_bus}	[{11965}, {12087}]	70.0	{wp_▁localisation} {form_bus}	[{11965}, {12087}]	70.0
74	{wp_▁localisation} {wp_'} {lemma_7114}	[{11965}, {23}, {11976}]	61.0	{wp_▁localisation} {wp_'}	[{11965}, {23}]	66.0	{lemma_de,form_2001,wp_▁de,wp_▁localisation} {lemma_7114} {wp_▁localisation}	[{9, 11978, 12, 11965}, {11976}, {11965}]	0.3240223463687151	{wp_▁localisation} {wp_'}	[{11965}, {23}]	66.0	{wp_▁localisation} {wp_'}	[{11965}, {23}]	66.0	{wp_▁localisation} {wp_'}	[{11965}, {23}]	66.0	{wp_▁localisation} {wp_'}	[{11965}, {23}]	66.0
75	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V} {wp_▁V} {wp_▁localisation}	[{104, 12073, 80, 12052, 11957}, {11957}, {11965}]	0.3743016759776536	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {wp_▁V}	[{104, 12073, 80, 12052, 11957, 441}, {11957}]	90.0	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {form_Dynamiques,wp_▁Historique,wp_▁V}	[{104, 12073, 80, 12052, 11957, 441}, {11968, 11962, 11957}]	0.3743016759776536	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V} {wp_▁V}	[{104, 12073, 80, 12052, 11957}, {11957}]	91.0	{lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {wp_▁V}	[{104, 12073, 80, 12052, 11957, 441}, {11957}]	90.0	{pos_DET,wp_▁restés,wp_▁V} {wp_▁V}	[{80, 12052, 11957}, {11957}]	93.0	{pos_DET,wp_▁restés,wp_▁V} {wp_▁V}	[{80, 12052, 11957}, {11957}]	93.0
76	{pos_ADJ} {wp_▁localisation} {lemma_7114}	[{153}, {11965}, {11976}]	0.26256983240223464	{pos_ADJ}	[{153}]	101.0	{lemma_7114,pos_ADJ}	[{11976, 153}]	69.0	{pos_ADJ}	[{153}]	101.0	{lemma_7114,pos_ADJ}	[{11976, 153}]	69.0	{pos_ADJ}	[{153}]	101.0	{lemma_7114,pos_ADJ}	[{11976, 153}]	69.0
77	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}, {11976}]	0.26256983240223464	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}, {11976}]	0.26256983240223464	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}, {11976}]	0.26256983240223464	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}]	0.3016759776536313	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}]	0.3016759776536313	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}]	0.3016759776536313	{lemma_7114} {lemma_7114} {wp_▁localisation} {wp_▁localisation} {lemma_7114}	[{11976}, {11976}, {11965}, {11965}, {11976}]	0.3016759776536313
78	{pos_DET,form_RER,lemma_le,wp_▁restés} {form_Dynamiques,wp_▁Historique} {wp_▁localisation} {form_Dynamiques}	[{80, 12073, 104, 12052}, {11968, 11962}, {11965}, {11968}]	0.329608938547486	{form_Dynamiques} {lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques,wp_▁Historique}	[{11968}, {25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968, 11962}]	0.3407821229050279	{form_Dynamiques} {lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés,wp_▁V,wp_▁les} {form_Dynamiques,wp_▁Historique,wp_▁V}	[{11968}, {25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052, 11957, 441}, {11968, 11962, 11957}]	0.25139664804469275	{form_Dynamiques} {lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques,wp_▁Historique}	[{11968}, {25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968, 11962}]	0.3407821229050279	{form_Dynamiques} {lemma__,wp_▁localisation,lemma_transport} {form_2001,wp_▁localisation,dep__} {dep__,lemma_le,form_RER,pos_DET,wp_▁restés} {form_Dynamiques,wp_▁Historique}	[{11968}, {25, 11965, 12071}, {11978, 11965, 6}, {6, 104, 12073, 80, 12052}, {11968, 11962}]	0.3407821229050279	{pos_DET,wp_▁restés} {form_Dynamiques,wp_▁Historique} {wp_▁localisation} {form_Dynamiques}	[{80, 12052}, {11968, 11962}, {11965}, {11968}]	0.3575418994413408	{pos_DET,wp_▁restés} {form_Dynamiques,wp_▁Historique} {wp_▁localisation} {form_Dynamiques}	[{80, 12052}, {11968, 11962}, {11965}, {11968}]	0.3575418994413408
79	{wp_▁V} {form_Dynamiques,wp_▁Historique,wp_▁V}	[{11957}, {11968, 11962, 11957}]	82.0	{wp_▁V}	[{11957}]	140.0	{wp_▁V} {form_Dynamiques,wp_▁Historique,wp_▁V}	[{11957}, {11968, 11962, 11957}]	82.0	{wp_▁V}	[{11957}]	140.0	{wp_▁V}	[{11957}]	140.0	{wp_▁V}	[{11957}]	140.0	{wp_▁V}	[{11957}]	140.0
80	{wp_▁V} {form_Dynamiques,wp_▁V}	[{11957}, {11968, 11957}]	105.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0	{form_Dynamiques,wp_▁V} {wp_▁V}	[{11968, 11957}, {11957}]	105.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0	{wp_▁V} {wp_▁V}	[{11957}, {11957}]	116.0
81	{form_Dynamiques} {form_placé} {wp_▁localisation}	[{11968}, {11983}, {11965}]	0.3240223463687151	{form_Dynamiques} {form_placé} {wp_▁localisation}	[{11968}, {11983}, {11965}]	0.3240223463687151	{form_Dynamiques,lemma_7114} {wp_▁localisation} {wp_▁localisation,form_placé}	[{11968, 11976}, {11965}, {11965, 11983}]	0.2569832402234637	{form_Dynamiques} {form_placé}	[{11968}, {11983}]	65.0	{form_Dynamiques} {form_placé}	[{11968}, {11983}]	65.0	{form_Dynamiques,lemma_7114} {form_placé} {wp_▁localisation}	[{11968, 11976}, {11983}, {11965}]	0.27932960893854747	{form_Dynamiques,lemma_7114} {form_placé} {wp_▁localisation}	[{11968, 11976}, {11983}, {11965}]	0.27932960893854747
