	motifs_int	motifs_str	GR	freq_1	freq_2
177	[{10}, {3, 19, 15}]	{pos_P} {pos_NC,dep_prep,feats_g=m}	0.7965083617821184	384.0	317
922	[{81, 4}, {4, 5}, {42}]	{feats_n=s,dep_det} {feats_n=s,feats_g=f} {dep_mod}	0.7964774951076321	407.0	336
2327	[{4}, {10, 42}]	{feats_n=s} {pos_P,dep_mod}	0.7963924104483961	585.0	483
196	[{9}, {3, 131, 5, 15}]	{lemma_de} {pos_NC,feats_g=f,dep_prep,feats_n=p}	0.7963470319634703	327.0	270
2126	[{10}, {4, 5}, {3, 4, 5, 15}]	{pos_P} {feats_n=s,feats_g=f} {pos_NC,feats_n=s,feats_g=f,dep_prep}	0.7963217519078543	350.0	289
1591	[{104, 4}]	{feats_n=s,lemma_le}	0.7962693092392888	683.0	564
827	[{5, 15}, {9, 10}]	{feats_g=f,dep_prep} {lemma_de,pos_P}	0.7962328767123288	310.0	256
1351	[{80, 81}, {3}, {42}, {4}]	{pos_DET,dep_det} {pos_NC} {dep_mod} {feats_n=s}	0.7961979312272854	356.0	294
235	[{4}, {3, 4, 5}, {4}]	{feats_n=s} {pos_NC,feats_n=s,feats_g=f} {feats_n=s}	0.7960861056751467	339.0	280
1855	[{3, 4, 15}, {153, 42}]	{pos_NC,feats_n=s,dep_prep} {dep_mod,pos_ADJ}	0.7959625090122567	345.0	285
2233	[{10}, {5, 15}]	{pos_P} {feats_g=f,dep_prep}	0.7959625090122566	529.0	437
24	[{4}, {3, 4}, {10}, {4}]	{feats_n=s} {pos_NC,feats_n=s} {pos_P} {feats_n=s}	0.7958569996658871	397.0	328
2760	[{131}, {42, 5}]	{feats_n=p} {feats_g=f,dep_mod}	0.7958348076631452	328.0	271
1970	[{10, 42}, {80, 81}, {15}]	{pos_P,dep_mod} {pos_DET,dep_det} {dep_prep}	0.7957727079211641	662.0	547
1798	[{80, 81, 4}, {3, 4}, {153, 42}]	{feats_n=s,pos_DET,dep_det} {pos_NC,feats_n=s} {dep_mod,pos_ADJ}	0.7957117331745086	334.0	276
1169	[{10, 42}, {15}]	{pos_P,dep_mod} {dep_prep}	0.7956596025299002	553.0	457
890	[{131, 300}]	{feats_n=p,wp_s}	0.7956164383561645	484.0	400
1585	[{4, 15}, {10}]	{feats_n=s,dep_prep} {pos_P}	0.795535261288686	490.0	405
575	[{10}, {5}, {3, 5}]	{pos_P} {feats_g=f} {pos_NC,feats_g=f}	0.7955086458567259	369.0	305
395	[{9, 12}, {4}, {4}]	{lemma_de,wp_▁de} {feats_n=s} {feats_n=s}	0.7954652810581012	421.0	348
1643	[{4}, {3}, {56, 55}]	{feats_n=s} {pos_NC} {pos_PONCT,dep_ponct}	0.7954365657659158	398.0	329
678	[{10}, {4, 5}, {4, 5, 15}]	{pos_P} {feats_n=s,feats_g=f} {feats_n=s,feats_g=f,dep_prep}	0.7953678858918233	352.0	291
1223	[{42}, {19}, {19}]	{dep_mod} {feats_g=m} {feats_g=m}	0.7950700631942538	422.0	349
2155	[{4}, {15}, {42}]	{feats_n=s} {dep_prep} {dep_mod}	0.7950186799501868	532.0	440
2213	[{3, 4, 15}, {10}]	{pos_NC,feats_n=s,dep_prep} {pos_P}	0.7950036230633863	480.0	397
1748	[{4}, {122, 131}, {131}]	{feats_n=s} {pos_P+D,feats_n=p} {feats_n=p}	0.7949294622776528	324.0	268
2844	[{19}, {15}]	{feats_g=m} {dep_prep}	0.7947587849910661	556.0	460
1235	[{5, 15}, {9}, {15}]	{feats_g=f,dep_prep} {lemma_de} {dep_prep}	0.7947176505371046	336.0	278
1226	[{3}, {10, 11}, {3, 4, 15}]	{pos_NC} {pos_P,dep_dep} {pos_NC,feats_n=s,dep_prep}	0.7947176505371046	336.0	278
1489	[{3, 19, 131, 15}]	{pos_NC,dep_prep,feats_g=m,feats_n=p}	0.7946582226199491	481.0	398
878	[{42, 131, 5}]	{feats_g=f,dep_mod,feats_n=p}	0.794603319124281	400.0	331
2199	[{4, 5}, {4}, {42}]	{feats_n=s,feats_g=f} {feats_n=s} {dep_mod}	0.794434121256644	383.0	317
2805	[{42}, {15}]	{dep_mod} {dep_prep}	0.7944270419374444	708.0	586
358	[{4}, {3, 5}, {4}]	{feats_n=s} {pos_NC,feats_g=f} {feats_n=s}	0.7941346710399383	343.0	284
1253	[{9}, {3, 5}]	{lemma_de} {pos_NC,feats_g=f}	0.7940876341259779	535.0	443
1133	[{9}, {4}, {4}]	{lemma_de} {feats_n=s} {feats_n=s}	0.7940036185060738	512.0	424
1131	[{80, 81, 4}, {4}, {4}]	{feats_n=s,pos_DET,dep_det} {feats_n=s} {feats_n=s}	0.7940036185060738	512.0	424
905	[{15}, {10, 42}, {4}]	{dep_prep} {pos_P,dep_mod} {feats_n=s}	0.7939614201845121	355.0	294
907	[{81}, {3, 5}, {4}]	{dep_det} {pos_NC,feats_g=f} {feats_n=s}	0.7939614201845121	355.0	294
2153	[{4}, {19, 15}]	{feats_n=s} {dep_prep,feats_g=m}	0.7938696411136424	559.0	463
307	[{80, 4}, {4}, {153}]	{feats_n=s,pos_DET} {feats_n=s} {pos_ADJ}	0.7937377690802347	338.0	280
1205	[{10}, {19}, {4}]	{pos_P} {feats_g=m} {feats_n=s}	0.7936553713049748	344.0	285
1209	[{42}, {170, 171}]	{dep_mod} {pos_CC,dep_coord}	0.7936553713049748	344.0	285
400	[{3, 5}, {11}, {19}]	{pos_NC,feats_g=f} {dep_dep} {feats_g=m}	0.79357581483231	315.0	261
1502	[{9, 10, 12}, {4}, {4}]	{lemma_de,pos_P,wp_▁de} {feats_n=s} {feats_n=s}	0.79357581483231	420.0	348
349	[{42}, {19}, {42}]	{dep_mod} {feats_g=m} {dep_mod}	0.7935758148323099	385.0	319
1458	[{4}, {42}, {80, 81}, {3}]	{feats_n=s} {dep_mod} {pos_DET,dep_det} {pos_NC}	0.793511583685824	426.0	353
1337	[{4}, {42}, {4}, {15}]	{feats_n=s} {dep_mod} {feats_n=s} {dep_prep}	0.7934989551892268	356.0	295
98	[{3}, {9, 11}, {5, 15}]	{pos_NC} {lemma_de,dep_dep} {feats_g=f,dep_prep}	0.7934246575342465	362.0	300
2919	[{19}, {9}]	{feats_g=m} {lemma_de}	0.7933990226708323	619.0	513
2679	[{4}, {10}, {80, 81}]	{feats_n=s} {pos_P} {pos_DET,dep_det}	0.7933884297520661	584.0	484
2946	[{9}, {131}, {131}]	{lemma_de} {feats_n=p} {feats_n=p}	0.7933527958679543	368.0	305
2996	[{4}, {4}, {9}]	{feats_n=s} {feats_n=s} {lemma_de}	0.7932354982137808	643.0	533
1866	[{42}, {171}]	{dep_mod} {dep_coord}	0.7931794233164097	345.0	286
1865	[{42}, {170}]	{dep_mod} {pos_CC}	0.7931794233164097	345.0	286
2501	[{80}, {3}, {10, 11}]	{pos_DET} {pos_NC} {pos_P,dep_dep}	0.7931274669143255	427.0	354
1056	[{42}, {4}, {19, 15}]	{dep_mod} {feats_n=s} {dep_prep,feats_g=m}	0.793108318034176	351.0	291
2808	[{80, 81, 19, 4}]	{feats_n=s,feats_g=m,pos_DET,dep_det}	0.793092254755567	509.0	422
993	[{19, 4}, {3, 15}]	{feats_n=s,feats_g=m} {pos_NC,dep_prep}	0.7930448172981296	515.0	427
810	[{9, 10, 12}, {80, 81, 4}, {4}]	{lemma_de,pos_P,wp_▁de} {feats_n=s,pos_DET,dep_det} {feats_n=s}	0.7930396149574231	357.0	296
