	motifs_int	motifs_str	ISP	MODYCO
{26} {18} {5,24} {3,5}	[{26}, {18}, {24, 5}, {3, 5}]	{feats_Gender=Fem} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	1.4486655767355598	-1.359283815471711
{5} {5} {18} {23,24,25,27}	[{5}, {5}, {18}, {24, 25, 27, 23}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	inf	
{5,24} {3,5} {17,18} {5}	[{24, 5}, {3, 5}, {17, 18}, {5}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing}	inf	
{17,18} {24} {3} {105}	[{17, 18}, {24}, {3}, {105}]	{lemma_de,pos_ADP} {pos_DET} {pos_NOUN} {pos_PUNCT}	inf	
{18} {24,27} {3,4} {18}	[{18}, {24, 27}, {3, 4}, {18}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc} {pos_ADP}	inf	
{24} {26} {18} {5}	[{24}, {26}, {18}, {5}]	{pos_DET} {feats_Gender=Fem} {pos_ADP} {feats_Number=Sing}	3.2603161276862442	-3.1170117161866315
{3} {18} {23,24,25,27} {26}	[{3}, {18}, {24, 25, 27, 23}, {26}]	{pos_NOUN} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem}	inf	
{5,24,27} {3,5} {18} {5} {5}	[{24, 27, 5}, {3, 5}, {18}, {5}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	inf	
{5,24,27} {5} {17,18,728,730} {5}	[{24, 27, 5}, {5}, {728, 17, 18, 730}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	inf	
{18} {24,27} {3} {18} {24}	[{18}, {24, 27}, {3}, {18}, {24}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_DET}	inf	
{24} {3} {18} {5,24} {3,5}	[{24}, {3}, {18}, {24, 5}, {3, 5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	inf	
{24} {4} {17,18,728,730} {5}	[{24}, {4}, {728, 17, 18, 730}, {5}]	{pos_DET} {feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	inf	
{5} {5} {18} {24,27}	[{5}, {5}, {18}, {24, 27}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art}	6.8472714718318555	-6.637522845206743
{24} {3} {18} {5} {5}	[{24}, {3}, {18}, {5}, {5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	7.654617077935588	-7.431171642116503
{24,27} {3} {17,18,728,730} {5}	[{24, 27}, {3}, {728, 17, 18, 730}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	8.616067460061533	-8.377228062968443
{5} {3,5} {18} {5,24,27}	[{5}, {3, 5}, {18}, {24, 27, 5}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	inf	
{5} {5} {17,18} {5,24,27} {5}	[{5}, {5}, {17, 18}, {24, 27, 5}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	inf	
{18} {5} {3,5} {18} {5}	[{18}, {5}, {3, 5}, {18}, {5}]	{pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	inf	
{18} {5} {4,5} {18}	[{18}, {5}, {4, 5}, {18}]	{pos_ADP} {feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {pos_ADP}	inf	
{18} {5,24,27} {5} {18} {5}	[{18}, {24, 27, 5}, {5}, {18}, {5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	inf	
{18} {24} {3,4} {17,18,728,730}	[{18}, {24}, {3, 4}, {728, 17, 18, 730}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de}	inf	
{23,24,25,27} {3} {18} {5} {3,5}	[{24, 25, 27, 23}, {3}, {18}, {5}, {3, 5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	inf	
{24} {3} {17,18} {24} {3}	[{24}, {3}, {17, 18}, {24}, {3}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {pos_DET} {pos_NOUN}	inf	
{24} {3} {18} {23,24,25,27} {3}	[{24}, {3}, {18}, {24, 25, 27, 23}, {3}]	{pos_DET} {pos_NOUN} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	inf	
{24} {3} {873,874,875,877} {17,18,728,730,878} {23,24,25,27,92,880,881} {92}	[{24}, {3}, {873, 874, 875, 877}, {878, 17, 18, 728, 730}, {880, 881, 23, 24, 25, 27, 92}, {92}]	{pos_DET} {pos_NOUN} {lemma_des,pos_des,feats_des,wp_▁des} {lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les} {feats_Number=Plur}	inf	
{3} {18} {5,24} {5,26}	[{3}, {18}, {24, 5}, {26, 5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing,feats_Gender=Fem}	0.7664162945802007	-0.7051712337641729
