	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO	AVERAGE	VAR	ST.DEV
MEAN			-12.84	6.11	-1.08	0.08	-10.67	0.04	-7.41	-13.01	-13.32	4.44	7.88	6.58	3.96	-7.36	-2.77	4.43	-0.52	-5.97	-2.86	-11.75	7.92	-11.52	-13.38	3.90	6.82	4.18	-4.66	10.21	-11.43	8.56	-1.70	-6.14	5.66	4.57	-7.34	9.61	8.83	1.99			
{3,4} {17,18,730} {5}	[{3, 4}, {17, 18, 730}, {5}]	{pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	-16.00	-18.72	16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	-18.75	16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-7.91	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-10.59	-0.63	258.52	16.08
{17,18,730} {4} {4}	[{17, 18, 730}, {4}, {4}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc} {feats_Gender=Masc}	-16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-9.82	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	1.00	257.57	16.05
{3} {17,18,728,730} {24}	[{3}, {728, 17, 18, 730}, {24}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET}	-16.00	16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.38	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.02	257.32	16.04
{5} {5,26} {105}	[{5}, {26, 5}, {105}]	{feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem} {pos_PUNCT}	-16.00	16.00	-16.00	-14.29	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.33	16.00	-16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.22	256.90	16.03
{17,18} {4,5,24} {5}	[{17, 18}, {24, 4, 5}, {5}]	{lemma_de,pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Number=Sing}	-16.00	16.00	16.00	-15.18	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.92	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	1.02	256.89	16.03
{5} {4,5} {4}	[{5}, {4, 5}, {4}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc}	-16.00	16.00	16.00	-14.83	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.69	16.00	-16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.04	256.45	16.01
{18} {24} {5} {105}	[{18}, {24}, {5}, {105}]	{pos_ADP} {pos_DET} {feats_Number=Sing} {pos_PUNCT}	-16.00	16.00	-16.00	16.00	-16.00	-13.30	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.38	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.25	256.18	16.01
{5} {4,5} {4,5}	[{5}, {4, 5}, {4, 5}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	16.00	-14.60	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.54	16.00	-16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.05	256.17	16.01
{4,5} {18} {24}	[{4, 5}, {18}, {24}]	{feats_Gender=Masc,feats_Number=Sing} {pos_ADP} {pos_DET}	-16.00	16.00	-16.00	-13.50	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-8.82	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.25	256.05	16.00
{24} {3,4} {17,18}	[{24}, {3, 4}, {17, 18}]	{pos_DET} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP}	-16.00	16.00	16.00	-17.11	-16.00	-15.85	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-11.17	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-14.96	1.81	255.99	16.00
{17,18,730} {5,23,24,25,27} {4,5}	[{17, 18, 730}, {5, 23, 24, 25, 27}, {4, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	16.00	-14.40	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.40	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	1.06	255.93	16.00
{5} {5} {18} {5,24,27}	[{5}, {5}, {18}, {24, 27, 5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	-16.00	16.00	-16.00	-15.48	-16.00	-14.34	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-10.11	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.05	255.82	15.99
{17,18,730} {5,24} {4,5}	[{17, 18, 730}, {24, 5}, {4, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-10.72	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	1.82	255.69	15.99
{17,18,728,730} {5,24} {4,5}	[{728, 17, 18, 730}, {24, 5}, {4, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-10.67	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	1.82	255.66	15.99
{4} {18} {5} {3,5}	[{4}, {18}, {5}, {3, 5}]	{feats_Gender=Masc} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	-16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-10.60	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.83	255.61	15.99
{18,692,693,695} {24} {3}	[{18, 692, 693, 695}, {24}, {3}]	{pos_ADP,lemma_à,feats_à,wp_▁à} {pos_DET} {pos_NOUN}	-16.00	16.00	-16.00	16.00	-16.00	-12.77	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.01	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.27	255.61	15.99
{24,25,27} {3} {18} {24}	[{24, 25, 27}, {3}, {18}, {24}]	{pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_DET}	-16.00	16.00	16.00	16.00	-16.00	-12.77	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.01	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.27	255.61	15.99
{5} {5} {18} {24,27} {5}	[{5}, {5}, {18}, {24, 27}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	-16.00	16.00	-16.00	-15.38	-16.00	-14.24	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-10.04	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.06	255.61	15.99
{92} {18} {26}	[{92}, {18}, {26}]	{feats_Number=Plur} {pos_ADP} {feats_Gender=Fem}	-16.00	-18.69	16.00	16.00	-16.00	-11.20	-16.00	-16.00	-16.00	-18.73	16.00	16.00	16.00	-16.00	-16.00	-19.53	16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-7.90	16.00	-16.00	16.00	16.00	-16.00	-14.35	16.00	-16.00	16.00	16.00	-10.57	-1.39	255.38	15.98
{5} {17,18,730} {24}	[{5}, {17, 18, 730}, {24}]	{feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {pos_DET}	-16.00	16.00	-16.00	-12.60	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-8.23	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.29	255.12	15.97
{24,25,27} {3} {18} {5} {5}	[{24, 25, 27}, {3}, {18}, {5}, {5}]	{pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	-16.00	16.00	16.00	16.00	-16.00	-12.30	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-8.67	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.29	255.12	15.97
{23,24,25,27} {3} {18} {5} {5}	[{24, 25, 27, 23}, {3}, {18}, {5}, {5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	-16.00	16.00	16.00	16.00	-16.00	-12.30	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-8.67	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.29	255.11	15.97
{5} {5} {18} {5} {3}	[{5}, {5}, {18}, {5}, {3}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {pos_NOUN}	-16.00	16.00	-16.00	-15.13	-16.00	-14.01	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.88	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.08	255.09	15.97
{3,5} {18} {23,24,25,27}	[{3, 5}, {18}, {24, 25, 27, 23}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	-16.00	16.00	16.00	-15.63	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-10.21	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.85	255.00	15.97
{730} {4} {5}	[{730}, {4}, {5}]	{wp_▁de} {feats_Gender=Masc} {feats_Number=Sing}	-16.00	16.00	16.00	-12.60	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-8.23	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-0.55	254.90	15.97
{17,18,730} {4} {5}	[{17, 18, 730}, {4}, {5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc} {feats_Number=Sing}	-16.00	16.00	16.00	-12.60	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-8.23	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-0.55	254.89	15.97
{17,18,728,730} {4} {5}	[{728, 17, 18, 730}, {4}, {5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc} {feats_Number=Sing}	-16.00	16.00	16.00	-12.53	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-8.19	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-0.55	254.83	15.96
{730} {4,5} {5}	[{730}, {4, 5}, {5}]	{wp_▁de} {feats_Gender=Masc,feats_Number=Sing} {feats_Number=Sing}	-16.00	16.00	16.00	-12.53	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-8.18	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-0.55	254.83	15.96
{24,92} {3,92} {92}	[{24, 92}, {3, 92}, {92}]	{pos_DET,feats_Number=Plur} {pos_NOUN,feats_Number=Plur} {feats_Number=Plur}	-16.00	16.00	16.00	16.00	-16.00	-14.63	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-10.31	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-13.81	1.09	254.76	15.96
{17,18} {5,26} {26}	[{17, 18}, {26, 5}, {26}]	{lemma_de,pos_ADP} {feats_Number=Sing,feats_Gender=Fem} {feats_Gender=Fem}	-16.00	16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-18.24	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-6.92	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-9.61	16.00	16.00	-0.49	254.70	15.96
{17,18,730} {4} {4,5}	[{17, 18, 730}, {4}, {4, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	16.00	-12.38	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-8.09	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-0.54	254.69	15.96
{730} {4,5} {4,5}	[{730}, {4, 5}, {4, 5}]	{wp_▁de} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	16.00	-12.38	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-8.09	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-0.54	254.69	15.96
{17,18,730} {4,5} {4,5}	[{17, 18, 730}, {4, 5}, {4, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	-16.00	16.00	16.00	-12.37	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-8.08	16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-0.54	254.69	15.96
{5} {5} {18} {24,27} {3}	[{5}, {5}, {18}, {24, 27}, {3}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN}	-16.00	16.00	16.00	-16.00	-16.00	-15.01	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-10.58	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.85	254.67	15.96
{3} {17,18,728,730} {5,26}	[{3}, {728, 17, 18, 730}, {26, 5}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,feats_Gender=Fem}	-16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.45	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-12.65	1.10	254.57	15.96
{684} {18} {24}	[{684}, {18}, {24}]	{pos_VERB} {pos_ADP} {pos_DET}	-16.00	16.00	16.00	16.00	-16.00	-12.76	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.11	254.40	15.95
{5,24,27} {5,26} {18}	[{24, 27, 5}, {26, 5}, {18}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem} {pos_ADP}	-16.00	16.00	16.00	-14.76	-16.00	-13.67	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.64	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.10	254.36	15.95
{5,24,27} {5,26} {5}	[{24, 27, 5}, {26, 5}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing}	-16.00	16.00	16.00	-11.01	-16.00	-10.20	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-18.96	-16.00	16.00	-16.00	-16.00	16.00	16.00	-19.90	-7.19	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-1.35	254.36	15.95
{4} {18} {24,27} {5}	[{4}, {18}, {24, 27}, {5}]	{feats_Gender=Masc} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	-16.00	16.00	16.00	-17.76	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-11.60	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	2.60	254.33	15.95
{5,24,27} {4,5} {5}	[{24, 27, 5}, {4, 5}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Gender=Masc,feats_Number=Sing} {feats_Number=Sing}	-16.00	16.00	16.00	-15.13	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.88	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.87	254.32	15.95
{24} {3} {18} {24} {3}	[{24}, {3}, {18}, {24}, {3}]	{pos_DET} {pos_NOUN} {pos_ADP} {pos_DET} {pos_NOUN}	-16.00	16.00	16.00	16.00	-16.00	-14.68	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-10.35	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.87	254.22	15.94
{17,18,728,730} {24} {3,5,26}	[{728, 17, 18, 730}, {24}, {26, 3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	-16.00	16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-8.34	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-11.16	0.33	254.22	15.94
{17,18,728,730} {5,24} {3,26}	[{728, 17, 18, 730}, {24, 5}, {26, 3}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Fem}	-16.00	16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-8.34	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	-11.16	0.33	254.22	15.94
{24,92} {3,92} {18}	[{24, 92}, {3, 92}, {18}]	{pos_DET,feats_Number=Plur} {pos_NOUN,feats_Number=Plur} {pos_ADP}	-16.00	16.00	16.00	16.00	-16.00	-11.23	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	-19.57	16.00	-16.00	-16.00	-16.00	-10.26	-16.00	-16.00	16.00	16.00	16.00	-7.92	16.00	-16.00	-18.70	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-1.36	254.17	15.94
{24} {3} {18} {5,24}	[{24}, {3}, {18}, {24, 5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET}	-16.00	16.00	16.00	-13.99	-16.00	-12.95	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.13	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	0.31	254.14	15.94
{18} {24} {3} {730}	[{18}, {24}, {3}, {730}]	{pos_ADP} {pos_DET} {pos_NOUN} {wp_▁de}	-16.00	16.00	16.00	-14.63	-16.00	-13.55	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-9.55	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	1.11	254.10	15.94
{5,23,24,25,27} {5} {730}	[{5, 23, 24, 25, 27}, {5}, {730}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {wp_▁de}	-16.00	16.00	-16.00	-11.70	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-7.64	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-0.51	254.09	15.94
{5,24,25,27} {5} {17,18,728,730}	[{24, 25, 27, 5}, {5}, {728, 17, 18, 730}]	{feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	-16.00	16.00	-16.00	-11.68	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-7.63	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-0.51	254.07	15.94
{23,24,25,27} {5} {17,18,728,730}	[{24, 25, 27, 23}, {5}, {728, 17, 18, 730}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	-16.00	16.00	-16.00	-11.68	-16.00	16.00	-16.00	-16.00	-16.00	16.00	16.00	16.00	16.00	-16.00	-16.00	16.00	-16.00	-16.00	-16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	16.00	-7.63	16.00	-16.00	16.00	-16.00	-16.00	16.00	16.00	-16.00	16.00	16.00	16.00	-0.51	254.07	15.94
