	motifs_int	motifs_str	ARSCAN	CHISCO	DICEN	LADYSS	LTIE	CDPC	CRDP	ECONOMIX	LAPPS	MODALX	CEDCAC	CREA	ERO	LEGS	MODYCO	CEDIN	CREF	HAR	LEME	MONDESA	CEJEC	CRESPPA	IDHES	LESC	PRETECH	CEREG	CRPM	IREPH	LICAE	SOPHIAPOL	CEROS	CSLF	IRERP	LINP2	CHAD	CTAD	ISP	LIPO	AVERAGE	VAR	ST.DEV
{5} {17,18,730} {5,23,24,25,27}	[{5}, {17, 18, 730}, {5, 23, 24, 25, 27}]	{feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	-16.00	16.00	-10.37	-4.21	-12.26	-3.90	-9.96	-16.00	-16.00	10.21	16.00	-10.94	-14.57	-14.17	-15.79	10.72	-14.13	-12.43	-7.25	-16.00	10.24	-16.00	-16.00	-10.32	-8.82	-7.61	-2.75	16.00	-16.00	16.00	-8.53	-17.79	-5.00	-8.62	-9.92	-3.82	16.00	-3.68	-5.73	124.13	11.14
{5} {18} {24} {3}	[{5}, {18}, {24}, {3}]	{feats_Number=Sing} {pos_ADP} {pos_DET} {pos_NOUN}	-16.00	16.00	16.00	9.82	-16.00	5.44	3.56	3.55	-16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	9.05	-0.32	16.00	-0.73	-16.00	16.00	16.00	16.00	1.39	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	3.67	16.00	16.00	10.02	8.78	124.10	11.14
{5,24} {4,5} {18} {5}	[{24, 5}, {4, 5}, {18}, {5}]	{feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	-16.00	-6.16	-9.81	-3.99	-11.60	-3.69	-9.43	-16.00	-16.00	-6.18	16.00	16.00	-13.79	-13.41	-14.95	-6.44	-13.38	-11.77	-6.87	-16.00	16.00	-16.00	-16.00	-9.77	-8.35	-7.21	-2.61	-2.80	-15.96	16.00	-8.07	-16.00	-4.73	16.00	-9.40	16.00	16.00	-3.49	-5.36	124.06	11.14
{5,24} {5} {18}	[{24, 5}, {5}, {18}]	{feats_Number=Sing,pos_DET} {feats_Number=Sing} {pos_ADP}	-16.00	16.00	16.00	5.26	-16.00	5.68	3.52	1.75	-16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	7.98	16.00	1.07	11.28	-1.15	-16.00	16.00	16.00	16.00	-0.27	16.00	-16.00	16.00	16.00	9.08	16.00	16.00	3.63	16.00	16.00	16.00	8.42	123.91	11.13
{92} {18} {5,24,27} {5}	[{92}, {18}, {24, 27, 5}, {5}]	{feats_Number=Plur} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	-16.00	-7.32	-11.65	-4.73	-13.77	-4.38	-11.19	-16.00	-16.00	-7.33	-11.44	-12.29	16.00	-15.92	-17.74	-7.64	-15.88	-13.97	-8.15	-16.00	-4.01	-16.00	-16.00	10.28	16.00	10.70	-3.09	16.00	-18.95	-7.30	-9.58	-19.99	-5.62	-9.69	-11.15	16.00	16.00	-4.14	-6.63	123.89	11.13
{3,5} {17,18} {5} {3,5}	[{3, 5}, {17, 18}, {5}, {3, 5}]	{pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	-16.00	-5.78	-9.21	-3.74	-10.88	-3.46	-8.84	-16.00	-16.00	-5.79	16.00	-9.71	-12.93	-12.58	-14.02	16.00	-12.55	-11.04	-6.44	-16.00	11.11	-16.00	-16.00	-9.16	-7.83	-6.76	-2.44	16.00	-14.97	16.00	-7.57	-15.80	16.00	11.42	-8.81	16.00	-8.97	-3.27	-5.00	123.89	11.13
{24,27} {5} {18}	[{24, 27}, {5}, {18}]	{pos_DET,feats_PronType=Art} {feats_Number=Sing} {pos_ADP}	-16.00	16.00	16.00	3.65	-16.00	4.95	3.31	2.36	-16.00	16.00	16.00	16.00	16.00	8.87	16.00	16.00	16.00	7.12	16.00	0.93	16.00	-0.82	-16.00	16.00	16.00	16.00	0.36	16.00	-16.00	16.00	16.00	8.87	16.00	16.00	3.41	16.00	16.00	16.00	8.29	123.69	11.12
{5} {18} {5,24} {5}	[{5}, {18}, {24, 5}, {5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	-16.00	16.00	16.00	2.62	-16.00	7.11	4.97	2.93	-16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	16.00	7.78	0.89	16.00	-0.37	-16.00	16.00	16.00	16.00	1.36	16.00	-16.00	16.00	16.00	16.00	16.00	16.00	5.09	16.00	16.00	8.31	8.65	123.62	11.12
{17,18,730} {23,24,25,27} {3}	[{17, 18, 730}, {24, 25, 27, 23}, {3}]	{lemma_de,pos_ADP,wp_▁de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	-10.45	16.00	16.00	5.39	-16.00	2.64	0.48	-7.98	-16.00	16.00	16.00	16.00	16.00	-0.75	16.00	9.87	16.00	0.78	3.29	-9.22	6.16	-1.48	-16.00	16.00	16.00	16.00	-3.29	16.00	-16.00	16.00	6.34	1.26	16.00	8.58	0.45	16.00	16.00	3.49	5.46	123.47	11.11
{17,18,728,730} {24,27} {3}	[{728, 17, 18, 730}, {24, 27}, {3}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET,feats_PronType=Art} {pos_NOUN}	-10.34	16.00	16.00	5.44	-16.00	2.67	0.50	-7.83	-16.00	16.00	16.00	16.00	16.00	-0.72	16.00	10.06	16.00	0.81	3.22	-9.28	6.21	-1.44	-16.00	16.00	16.00	16.00	-3.26	16.00	-16.00	16.00	6.08	1.26	16.00	8.67	0.47	16.00	16.00	3.35	5.47	123.33	11.11
