	motifs_int	motifs_str	k	M	f	t	T	indice
{5} {873,874,875,877} {17,18,728,730,878} {23,24,25,27,92,880,881}	[{5}, {873, 874, 875, 877}, {878, 17, 18, 728, 730}, {880, 881, 23, 24, 25, 27, 92}]	{feats_Number=Sing} {lemma_des,pos_des,feats_des,wp_▁des} {lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les}	111	15	2076	367	48978	inf
{92} {92} {4,92}	[{92}, {92}, {4, 92}]	{feats_Number=Plur} {feats_Number=Plur} {feats_Gender=Masc,feats_Number=Plur}	106	15	2002	367	48978	inf
{5} {873,874,875,877} {17,18,728,730,878} {23,24,25,27,92,880,881} {3,92}	[{5}, {873, 874, 875, 877}, {878, 17, 18, 728, 730}, {880, 881, 23, 24, 25, 27, 92}, {3, 92}]	{feats_Number=Sing} {lemma_des,pos_des,feats_des,wp_▁des} {lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les} {pos_NOUN,feats_Number=Plur}	105	9	1200	367	48978	inf
{24,27} {3,4} {4,11}	[{24, 27}, {3, 4}, {11, 4}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc} {feats_Gender=Masc,pos_ADJ}	94	21	2830	367	48978	inf
{92} {3} {18} {5}	[{92}, {3}, {18}, {5}]	{feats_Number=Plur} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	124	19	2533	367	48978	inf
{23,24,25,27,92} {92} {92}	[{23, 24, 25, 27, 92}, {92}, {92}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur} {feats_Number=Plur} {feats_Number=Plur}	113	22	2978	367	48978	inf
{5} {873,874,875,877} {17,18,728,730,878} {23,24,25,27,92,880,881} {92}	[{5}, {873, 874, 875, 877}, {878, 17, 18, 728, 730}, {880, 881, 23, 24, 25, 27, 92}, {92}]	{feats_Number=Sing} {lemma_des,pos_des,feats_des,wp_▁des} {lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les} {feats_Number=Plur}	110	15	2064	367	48978	inf
{4} {17,18} {26}	[{4}, {17, 18}, {26}]	{feats_Gender=Masc} {lemma_de,pos_ADP} {feats_Gender=Fem}	110	27	3628	367	48978	inf
{24,92} {92} {11}	[{24, 92}, {92}, {11}]	{pos_DET,feats_Number=Plur} {feats_Number=Plur} {pos_ADJ}	120	19	2543	367	48978	inf
{5,24} {3,5} {105}	[{24, 5}, {3, 5}, {105}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {pos_PUNCT}	93	31	4148	367	48978	inf
{24,27} {4} {5}	[{24, 27}, {4}, {5}]	{pos_DET,feats_PronType=Art} {feats_Gender=Masc} {feats_Number=Sing}	92	34	4598	367	48978	inf
{18} {24,27} {3} {18} {5}	[{18}, {24, 27}, {3}, {18}, {5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	99	39	5251	367	48978	inf
{3} {18} {24} {3,26}	[{3}, {18}, {24}, {26, 3}]	{pos_NOUN} {pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Fem}	115	46	6130	367	48978	inf
{24,27,92} {92} {11,92}	[{24, 27, 92}, {92}, {11, 92}]	{pos_DET,feats_PronType=Art,feats_Number=Plur} {feats_Number=Plur} {pos_ADJ,feats_Number=Plur}	108	15	2121	367	48978	inf
