	motifs_int	motifs_str	k	M	f	t	T	indice
{26} {873,874,875,877} {17,18,728,730,878} {23,24,25,27,92,880,881} {92}	[{26}, {873, 874, 875, 877}, {878, 17, 18, 728, 730}, {880, 881, 23, 24, 25, 27, 92}, {92}]	{feats_Gender=Fem} {lemma_des,pos_des,feats_des,wp_▁des} {lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les} {feats_Number=Plur}	210	8	526	765	48978	inf
{92} {92} {17,18,728,730}	[{92}, {92}, {728, 17, 18, 730}]	{feats_Number=Plur} {feats_Number=Plur} {lemma_de,pos_ADP,feats_de,wp_▁de}	223	20	1337	765	48978	inf
{17,18,730} {26} {26}	[{17, 18, 730}, {26}, {26}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Fem} {feats_Gender=Fem}	210	26	1680	765	48978	inf
{5} {730} {26}	[{5}, {730}, {26}]	{feats_Number=Sing} {wp_▁de} {feats_Gender=Fem}	208	49	3182	765	48978	inf
{18} {92} {3,92} {92}	[{18}, {92}, {3, 92}, {92}]	{pos_ADP} {feats_Number=Plur} {pos_NOUN,feats_Number=Plur} {feats_Number=Plur}	244	9	580	765	48978	inf
{24,92} {92} {26,92}	[{24, 92}, {92}, {26, 92}]	{pos_DET,feats_Number=Plur} {feats_Number=Plur} {feats_Gender=Fem,feats_Number=Plur}	249	20	1304	765	48978	inf
{92} {4} {4}	[{92}, {4}, {4}]	{feats_Number=Plur} {feats_Gender=Masc} {feats_Gender=Masc}	231	18	1189	765	48978	inf
{26} {17,18} {26}	[{26}, {17, 18}, {26}]	{feats_Gender=Fem} {lemma_de,pos_ADP} {feats_Gender=Fem}	210	23	1471	765	48978	inf
{92} {92} {18} {26}	[{92}, {92}, {18}, {26}]	{feats_Number=Plur} {feats_Number=Plur} {pos_ADP} {feats_Gender=Fem}	191	8	546	765	48978	inf
{3,5} {873,874,875,877} {17,18,728,730,878} {23,24,25,27,92,880,881} {3,92}	[{3, 5}, {873, 874, 875, 877}, {878, 17, 18, 728, 730}, {880, 881, 23, 24, 25, 27, 92}, {3, 92}]	{pos_NOUN,feats_Number=Sing} {lemma_des,pos_des,feats_des,wp_▁des} {lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les} {pos_NOUN,feats_Number=Plur}	207	8	535	765	48978	inf
{4} {17,18} {5,26}	[{4}, {17, 18}, {26, 5}]	{feats_Gender=Masc} {lemma_de,pos_ADP} {feats_Number=Sing,feats_Gender=Fem}	204	27	1785	765	48978	inf
{17,18,728,730} {92} {26,92}	[{728, 17, 18, 730}, {92}, {26, 92}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Plur} {feats_Gender=Fem,feats_Number=Plur}	199	8	546	765	48978	inf
{92} {26} {26}	[{92}, {26}, {26}]	{feats_Number=Plur} {feats_Gender=Fem} {feats_Gender=Fem}	262	21	1393	765	48978	inf
