	motifs_int	motifs_str	k	M	f	t	T	indice
{18} {5} {4,5} {4,5}	[{18}, {5}, {4, 5}, {4, 5}]	{pos_ADP} {feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	149	3	297	566	48978	inf
{17,18,730} {5} {3,4,5}	[{17, 18, 730}, {5}, {3, 4, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	149	29	2531	566	48978	inf
{17,18,728,730} {5} {3,4}	[{728, 17, 18, 730}, {5}, {3, 4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {pos_NOUN,feats_Gender=Masc}	149	29	2514	566	48978	inf
{17,18} {4,5} {3,4,5}	[{17, 18}, {4, 5}, {3, 4, 5}]	{lemma_de,pos_ADP} {feats_Gender=Masc,feats_Number=Sing} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing}	149	26	2318	566	48978	inf
{5,26} {5,26} {26}	[{26, 5}, {26, 5}, {26}]	{feats_Number=Sing,feats_Gender=Fem} {feats_Number=Sing,feats_Gender=Fem} {feats_Gender=Fem}	149	8	735	566	48978	inf
{5,24,27} {3,5,26} {17,18}	[{24, 27, 5}, {26, 3, 5}, {17, 18}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem} {lemma_de,pos_ADP}	149	11	1002	566	48978	inf
{5} {5,26} {17,18,728,730}	[{5}, {26, 5}, {728, 17, 18, 730}]	{feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem} {lemma_de,pos_ADP,feats_de,wp_▁de}	149	16	1410	566	48978	inf
{5} {5} {18} {5,24} {3,5,26}	[{5}, {5}, {18}, {24, 5}, {26, 3, 5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	149	12	1058	566	48978	inf
{5} {5} {5} {105}	[{5}, {5}, {5}, {105}]	{feats_Number=Sing} {feats_Number=Sing} {feats_Number=Sing} {pos_PUNCT}	149	12	1063	566	48978	inf
{5} {5} {3,4}	[{5}, {5}, {3, 4}]	{feats_Number=Sing} {feats_Number=Sing} {pos_NOUN,feats_Gender=Masc}	149	3	298	566	48978	inf
{18} {5,23,24,25,27,1271} {3,5,26}	[{18}, {5, 1271, 23, 24, 25, 27}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	146	16	1467	566	48978	inf
{18} {5,24} {130}	[{18}, {24, 5}, {130}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_PROPN}	146	15	1321	566	48978	inf
{26} {18} {24,27}	[{26}, {18}, {24, 27}]	{feats_Gender=Fem} {pos_ADP} {pos_DET,feats_PronType=Art}	214	85	7391	566	48978	inf
{18} {24} {3} {105}	[{18}, {24}, {3}, {105}]	{pos_ADP} {pos_DET} {pos_NOUN} {pos_PUNCT}	174	72	6287	566	48978	inf
{18} {23,24,25,27} {3} {18}	[{18}, {24, 25, 27, 23}, {3}, {18}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP}	214	109	9497	566	48978	inf
{5,24} {3,5} {18} {5}	[{24, 5}, {3, 5}, {18}, {5}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	214	75	6542	566	48978	inf
{4,5} {4} {18}	[{4, 5}, {4}, {18}]	{feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc} {pos_ADP}	214	76	6629	566	48978	inf
{4} {5} {4}	[{4}, {5}, {4}]	{feats_Gender=Masc} {feats_Number=Sing} {feats_Gender=Masc}	214	48	4218	566	48978	inf
{18} {4,5,23,24,25,27,43,44} {4,5}	[{18}, {4, 5, 43, 44, 23, 24, 25, 27}, {4, 5}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,dep_le,wp_▁le} {feats_Gender=Masc,feats_Number=Sing}	227	75	6532	566	48978	inf
{5,24,27} {3} {5}	[{24, 27, 5}, {3}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN} {feats_Number=Sing}	227	92	7990	566	48978	inf
{5} {18} {23,24,25,27} {5}	[{5}, {18}, {24, 25, 27, 23}, {5}]	{feats_Number=Sing} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	227	88	7622	566	48978	inf
{5} {5} {5,26}	[{5}, {5}, {26, 5}]	{feats_Number=Sing} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	227	71	6162	566	48978	inf
{4} {18} {24,27}	[{4}, {18}, {24, 27}]	{feats_Gender=Masc} {pos_ADP} {pos_DET,feats_PronType=Art}	227	103	8941	566	48978	inf
{3} {18} {24,27} {3}	[{3}, {18}, {24, 27}, {3}]	{pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN}	227	119	10346	566	48978	inf
{5} {5} {17,18}	[{5}, {5}, {17, 18}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP}	271	153	13228	566	48978	inf
{24} {26} {5,26}	[{24}, {26}, {26, 5}]	{pos_DET} {feats_Gender=Fem} {feats_Number=Sing,feats_Gender=Fem}	174	29	2576	566	48978	inf
{24} {4} {18} {5}	[{24}, {4}, {18}, {5}]	{pos_DET} {feats_Gender=Masc} {pos_ADP} {feats_Number=Sing}	174	57	4974	566	48978	inf
{18,692,693,695} {24} {5}	[{18, 692, 693, 695}, {24}, {5}]	{pos_ADP,lemma_à,feats_à,wp_▁à} {pos_DET} {feats_Number=Sing}	174	36	3154	566	48978	inf
{18} {5,23,24,25,27,1271} {3,5}	[{18}, {5, 1271, 23, 24, 25, 27}, {3, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {pos_NOUN,feats_Number=Sing}	174	55	4812	566	48978	inf
{24} {4} {17,18,728,730}	[{24}, {4}, {728, 17, 18, 730}]	{pos_DET} {feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de}	146	38	3304	566	48978	inf
