	motifs_int	motifs_str	k	M	f	t	T	indice
{24,27} {3,26} {18} {5}	[{24, 27}, {26, 3}, {18}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing}	169	44	3318	661	48978	inf
{18,692} {24,27} {3}	[{18, 692}, {24, 27}, {3}]	{pos_ADP,lemma_à} {pos_DET,feats_PronType=Art} {pos_NOUN}	175	52	3856	661	48978	inf
{5} {5} {17,18} {5} {5}	[{5}, {5}, {17, 18}, {5}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	172	42	3161	661	48978	inf
{5} {18} {5,26}	[{5}, {18}, {26, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,feats_Gender=Fem}	237	104	7739	661	48978	inf
{5,24,27} {3,5} {17,18,728,730}	[{24, 27, 5}, {3, 5}, {728, 17, 18, 730}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	215	67	4974	661	48978	inf
{5,23,24,25,27} {5} {17,18,728,730}	[{5, 23, 24, 25, 27}, {5}, {728, 17, 18, 730}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de}	187	46	3446	661	48978	inf
{18} {24} {3} {17,18}	[{18}, {24}, {3}, {17, 18}]	{pos_ADP} {pos_DET} {pos_NOUN} {lemma_de,pos_ADP}	244	86	6427	661	48978	inf
{23,24,25,27} {3} {11}	[{24, 25, 27, 23}, {3}, {11}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADJ}	239	95	7076	661	48978	inf
{3,26} {18} {5,24} {5}	[{26, 3}, {18}, {24, 5}, {5}]	{pos_NOUN,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	193	38	2882	661	48978	inf
{5} {17,18,728,730} {24}	[{5}, {728, 17, 18, 730}, {24}]	{feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET}	169	50	3706	661	48978	inf
{5} {3,5} {18} {5,24,27}	[{5}, {3, 5}, {18}, {24, 27, 5}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	166	26	1976	661	48978	inf
{5} {5} {18}	[{5}, {5}, {18}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP}	375	278	20603	661	48978	inf
{5} {4} {17,18}	[{5}, {4}, {17, 18}]	{feats_Number=Sing} {feats_Gender=Masc} {lemma_de,pos_ADP}	197	51	3845	661	48978	inf
{3} {18} {24}	[{3}, {18}, {24}]	{pos_NOUN} {pos_ADP} {pos_DET}	331	215	15937	661	48978	inf
{5} {5} {18} {23,24,25,27} {3}	[{5}, {5}, {18}, {24, 25, 27, 23}, {3}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	176	41	3037	661	48978	inf
{18} {24} {3,26}	[{18}, {24}, {26, 3}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Fem}	376	278	20590	661	48978	inf
