	motifs_int	motifs_str	k	M	f	t	T	indice
{5} {5} {105}	[{5}, {5}, {105}]	{feats_Number=Sing} {feats_Number=Sing} {pos_PUNCT}	174	124	18951	321	48978	8.21259526837851
{24,25,27} {3} {18}	[{24, 25, 27}, {3}, {18}]	{pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP}	156	107	16363	321	48978	8.207366614491656
{4} {18} {24,27}	[{4}, {18}, {24, 27}]	{feats_Gender=Masc} {pos_ADP} {pos_DET,feats_PronType=Art}	100	58	8941	321	48978	8.137998351209134
{18} {5,24} {3,5,26}	[{18}, {24, 5}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	144	96	14733	321	48978	8.110956591471167
{18} {24} {3,5,26}	[{18}, {24}, {26, 3, 5}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	144	96	14734	321	48978	8.10988737268832
{5} {18} {5,24}	[{5}, {18}, {24, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET}	129	83	12695	321	48978	8.109082792549044
{18} {5,24} {3,26}	[{18}, {24, 5}, {26, 3}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Gender=Fem}	144	96	14736	321	48978	8.107891366491046
{18} {4,5,24,27} {4,5}	[{18}, {24, 27, 4, 5}, {4, 5}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Gender=Masc,feats_Number=Sing}	139	92	14051	321	48978	8.10005230199208
{18} {5,23,24,25,27} {5,26}	[{18}, {5, 23, 24, 25, 27}, {26, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	131	85	12974	321	48978	8.086556859726196
{18} {23,24,25,27} {5,26}	[{18}, {24, 25, 27, 23}, {26, 5}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	131	85	12976	321	48978	8.081770099281266
{18} {5,24,25,27} {5,26}	[{18}, {24, 25, 27, 5}, {26, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	131	85	12976	321	48978	8.081770099281266
{18} {23} {5,26}	[{18}, {23}, {26, 5}]	{pos_ADP} {lemma_le} {feats_Number=Sing,feats_Gender=Fem}	131	85	12977	321	48978	8.080809838270616
{18} {4,5,24,27} {4}	[{18}, {24, 27, 4, 5}, {4}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Gender=Masc}	139	92	14066	321	48978	8.066647871681388
{18} {4,5} {4}	[{18}, {4, 5}, {4}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc}	147	99	15186	321	48978	8.031723492862975
{5} {18} {24,27} {3}	[{5}, {18}, {24, 27}, {3}]	{feats_Number=Sing} {pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN}	114	70	10779	321	48978	7.980444563813551
{18} {4,5,24,27} {5}	[{18}, {24, 27, 4, 5}, {5}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	139	92	14113	321	48978	7.969872021096483
{92} {3} {92}	[{92}, {3}, {92}]	{feats_Number=Plur} {pos_NOUN} {feats_Number=Plur}	95	55	8394	321	48978	7.950808060816627
{18} {5} {3}	[{18}, {5}, {3}]	{pos_ADP} {feats_Number=Sing} {pos_NOUN}	204	155	23639	321	48978	7.921151313280426
{18} {4} {4}	[{18}, {4}, {4}]	{pos_ADP} {feats_Gender=Masc} {feats_Gender=Masc}	151	104	15836	321	48978	7.845144670389948
{4} {4} {18}	[{4}, {4}, {18}]	{feats_Gender=Masc} {feats_Gender=Masc} {pos_ADP}	111	68	10457	321	48978	7.826571125047582
{24} {3} {18}	[{24}, {3}, {18}]	{pos_DET} {pos_NOUN} {pos_ADP}	171	123	18712	321	48978	7.826163523705251
{3} {18} {24} {3}	[{3}, {18}, {24}, {3}]	{pos_NOUN} {pos_ADP} {pos_DET} {pos_NOUN}	129	84	12833	321	48978	7.807501814137281
{18} {5,24,27} {5,26}	[{18}, {24, 27, 5}, {26, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	143	97	14762	321	48978	7.76223343583637
{18} {5,24,27} {26}	[{18}, {24, 27, 5}, {26}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Gender=Fem}	143	97	14764	321	48978	7.75706867678787
{18} {24,27} {5,26}	[{18}, {24, 27}, {26, 5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	143	97	14764	321	48978	7.75706867678787
{5} {5} {18} {5}	[{5}, {5}, {18}, {5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	131	86	13131	321	48978	7.743206191854283
{18} {5} {3,5}	[{18}, {5}, {3, 5}]	{pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	203	155	23612	321	48978	7.686013611772202
