	motifs_int	motifs_str	k	M	f	t	T	indice
{18} {23,24,25,27} {3,4}	[{18}, {24, 25, 27, 23}, {3, 4}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc}	2524	2796	18377	7451	48978	-12.163810976631181
{18} {24,25,27} {3,4}	[{18}, {24, 25, 27}, {3, 4}]	{pos_ADP} {pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc}	2524	2796	18378	7451	48978	-12.176101148841543
{24} {3} {17,18} {5,23,24,25,27} {5}	[{24}, {3}, {17, 18}, {5, 23, 24, 25, 27}, {5}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	26	170	7451	48978	-12.20689531645383
{24} {3} {17,18,728,730} {5,23,24,25,27}	[{24}, {3}, {728, 17, 18, 730}, {5, 23, 24, 25, 27}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	0	26	170	7451	48978	-12.20689531645383
{4} {3,4} {105}	[{4}, {3, 4}, {105}]	{feats_Gender=Masc} {pos_NOUN,feats_Gender=Masc} {pos_PUNCT}	0	26	171	7451	48978	-12.2788373004841
{23,24,25,27} {3} {17,18,728,730} {5,24} {5}	[{24, 25, 27, 23}, {3}, {728, 17, 18, 730}, {24, 5}, {5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	0	26	171	7451	48978	-12.2788373004841
{23,24,25,27} {3} {17,18,728,730} {5,24}	[{24, 25, 27, 23}, {3}, {728, 17, 18, 730}, {24, 5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET}	0	26	172	7451	48978	-12.350780887750695
{3,5,26} {17,18,728,730} {5}	[{26, 3, 5}, {728, 17, 18, 730}, {5}]	{pos_NOUN,feats_Number=Sing,feats_Gender=Fem} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing}	0	26	173	7451	48978	-12.422726078203056
{4} {17,18,728,730} {5,23,24,25,27} {5}	[{4}, {728, 17, 18, 730}, {5, 23, 24, 25, 27}, {5}]	{feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	26	173	7451	48978	-12.422726078203056
{4} {17,18,728,730} {5,23,24,25,27}	[{4}, {728, 17, 18, 730}, {5, 23, 24, 25, 27}]	{feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	0	26	174	7451	48978	-12.494672871866461
{4} {3} {105}	[{4}, {3}, {105}]	{feats_Gender=Masc} {pos_NOUN} {pos_PUNCT}	0	26	175	7451	48978	-12.56662126889259
{3} {17,18,728,730} {5,23,24,25,27,1271} {5}	[{3}, {728, 17, 18, 730}, {5, 1271, 23, 24, 25, 27}, {5}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {feats_Number=Sing}	0	27	177	7451	48978	-12.710522873285804
{3} {18} {5,23,24,25,27,1271} {3,5}	[{3}, {18}, {5, 1271, 23, 24, 25, 27}, {3, 5}]	{pos_NOUN} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {pos_NOUN,feats_Number=Sing}	0	27	178	7451	48978	-12.782476080754007
{4} {17,18} {5,24,27} {5}	[{4}, {17, 18}, {24, 27, 5}, {5}]	{feats_Gender=Masc} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	0	27	180	7451	48978	-12.926387306764468
{4} {17,18} {5,24,27}	[{4}, {17, 18}, {24, 27, 5}]	{feats_Gender=Masc} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	0	27	181	7451	48978	-12.998345325357285
{17,18,728,730} {5,23,24,25,27,1271,82196} {3,5}	[{728, 17, 18, 730}, {5, 1271, 82196, 23, 24, 25, 27}, {3, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l,wp_’} {pos_NOUN,feats_Number=Sing}	0	27	182	7451	48978	-13.07030494779313
{4} {17,18,728,730} {5,24} {5}	[{4}, {728, 17, 18, 730}, {24, 5}, {5}]	{feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	0	27	183	7451	48978	-13.142266174147839
{4} {17,18,728,730} {5,24}	[{4}, {728, 17, 18, 730}, {24, 5}]	{feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET}	0	28	184	7451	48978	-13.214229004522531
{18} {24,27} {3} {4}	[{18}, {24, 27}, {3}, {4}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {feats_Gender=Masc}	0	28	189	7451	48978	-13.57406721864223
{18} {24} {3,4} {4}	[{18}, {24}, {3, 4}, {4}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc} {feats_Gender=Masc}	0	29	191	7451	48978	-13.718013734760735
{18} {24,27,92} {92} {11}	[{18}, {24, 27, 92}, {92}, {11}]	{pos_ADP} {pos_DET,feats_PronType=Art,feats_Number=Plur} {feats_Number=Plur} {pos_ADJ}	0	29	191	7451	48978	-13.718013734760735
{24,27,1090,1091} {3} {11}	[{24, 1090, 27, 1091}, {3}, {11}]	{pos_DET,feats_PronType=Art,lemma_un,feats_Definite=Ind} {pos_NOUN} {pos_ADJ}	0	29	191	7451	48978	-13.718013734760735
{18} {23,24,25,27} {26} {26}	[{18}, {24, 25, 27, 23}, {26}, {26}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem} {feats_Gender=Fem}	0	29	191	7451	48978	-13.718013734760735
{18} {24,27} {3} {11,92}	[{18}, {24, 27}, {3}, {11, 92}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADJ,feats_Number=Plur}	0	29	192	7451	48978	-13.78998939957042
{18} {24,27} {3} {11,26}	[{18}, {24, 27}, {3}, {26, 11}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADJ,feats_Gender=Fem}	0	29	192	7451	48978	-13.78998939957042
{18} {23,24,25,27,92,881} {3,92} {92}	[{18}, {881, 23, 24, 25, 27, 92}, {3, 92}, {92}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,wp_▁les} {pos_NOUN,feats_Number=Plur} {feats_Number=Plur}	0	29	192	7451	48978	-13.78998939957042
{24,27} {3} {26,92}	[{24, 27}, {3}, {26, 92}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {feats_Gender=Fem,feats_Number=Plur}	0	29	192	7451	48978	-13.78998939957042
{24,27,92} {3,92} {26}	[{24, 27, 92}, {3, 92}, {26}]	{pos_DET,feats_PronType=Art,feats_Number=Plur} {pos_NOUN,feats_Number=Plur} {feats_Gender=Fem}	0	29	193	7451	48978	-13.861966669057349
{24,92} {92} {4,92}	[{24, 92}, {92}, {4, 92}]	{pos_DET,feats_Number=Plur} {feats_Number=Plur} {feats_Gender=Masc,feats_Number=Plur}	0	29	193	7451	48978	-13.861966669057349
{18} {24,27} {26} {11,26}	[{18}, {24, 27}, {26}, {26, 11}]	{pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Fem} {pos_ADJ,feats_Gender=Fem}	0	29	193	7451	48978	-13.861966669057349
{18} {5,24,27} {3,5}	[{18}, {24, 27, 5}, {3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	3155	3457	22722	7451	48978	-13.8768374211136
