	motifs_int	motifs_str	k	M	f	t	T	indice
{17,18} {5,23,24,25,27} {3}	[{17, 18}, {5, 23, 24, 25, 27}, {3}]	{lemma_de,pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN}	266	184	12201	740	48978	inf
{730} {24,92} {3,92}	[{730}, {24, 92}, {3, 92}]	{wp_▁de} {pos_DET,feats_Number=Plur} {pos_NOUN,feats_Number=Plur}	188	74	4948	740	48978	inf
{684} {24,27} {3}	[{684}, {24, 27}, {3}]	{pos_VERB} {pos_DET,feats_PronType=Art} {pos_NOUN}	200	58	3876	740	48978	inf
{26} {18} {26}	[{26}, {18}, {26}]	{feats_Gender=Fem} {pos_ADP} {feats_Gender=Fem}	218	82	5445	740	48978	inf
{24} {3,5} {18}	[{24}, {3, 5}, {18}]	{pos_DET} {pos_NOUN,feats_Number=Sing} {pos_ADP}	288	198	13141	740	48978	inf
{17,18,728,730} {4,5,24} {4,5}	[{728, 17, 18, 730}, {24, 4, 5}, {4, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing}	212	51	3376	740	48978	inf
{17,18} {5,24} {3,5,26}	[{17, 18}, {24, 5}, {26, 3, 5}]	{lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	190	80	5353	740	48978	inf
{17,18} {4,5,24,27} {4,5}	[{17, 18}, {24, 27, 4, 5}, {4, 5}]	{lemma_de,pos_ADP} {feats_Gender=Masc,feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Gender=Masc,feats_Number=Sing}	238	65	4299	740	48978	inf
{5,23,24,25,27} {3} {5}	[{5, 23, 24, 25, 27}, {3}, {5}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {feats_Number=Sing}	218	86	5726	740	48978	inf
{5} {5} {18} {5} {3,5}	[{5}, {5}, {18}, {5}, {3, 5}]	{feats_Number=Sing} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	198	66	4414	740	48978	inf
{18} {5,24,26} {3,26}	[{18}, {24, 26, 5}, {26, 3}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Fem} {pos_NOUN,feats_Gender=Fem}	194	95	6324	740	48978	inf
{3,5} {18} {5,24} {3,5}	[{3, 5}, {18}, {24, 5}, {3, 5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	192	73	4870	740	48978	inf
{5} {3,5} {17,18,730}	[{5}, {3, 5}, {17, 18, 730}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de}	212	97	6419	740	48978	inf
{5,24} {3,5} {18} {3}	[{24, 5}, {3, 5}, {18}, {3}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {pos_ADP} {pos_NOUN}	186	25	1653	740	48978	inf
{18} {24,26} {3}	[{18}, {24, 26}, {3}]	{pos_ADP} {pos_DET,feats_Gender=Fem} {pos_NOUN}	194	96	6397	740	48978	inf
{18} {24,27,92} {92}	[{18}, {24, 27, 92}, {92}]	{pos_ADP} {pos_DET,feats_PronType=Art,feats_Number=Plur} {feats_Number=Plur}	306	215	14213	740	48978	inf
{24,27} {3} {26}	[{24, 27}, {3}, {26}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {feats_Gender=Fem}	202	87	5770	740	48978	inf
{18} {23,24,25,27,92,880,881} {92}	[{18}, {880, 881, 23, 24, 25, 27, 92}, {92}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les} {feats_Number=Plur}	210	104	6908	740	48978	inf
{5,24} {3,5} {17,18,730}	[{24, 5}, {3, 5}, {17, 18, 730}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de}	190	81	5392	740	48978	inf
{18} {5,24,26} {3,5,26}	[{18}, {24, 26, 5}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Fem} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	194	95	6323	740	48978	inf
{18} {5,24,26} {3,5}	[{18}, {24, 26, 5}, {3, 5}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Fem} {pos_NOUN,feats_Number=Sing}	194	95	6326	740	48978	inf
{5} {18} {5,24,27} {3,5,26}	[{5}, {18}, {24, 27, 5}, {26, 3, 5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	200	60	4025	740	48978	inf
{26} {17,18,730} {5}	[{26}, {17, 18, 730}, {5}]	{feats_Gender=Fem} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	210	75	5013	740	48978	inf
{3,26} {17,18,730} {5}	[{26, 3}, {17, 18, 730}, {5}]	{pos_NOUN,feats_Gender=Fem} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	192	42	2809	740	48978	inf
{17,18,728,730,878} {4} {4}	[{878, 17, 18, 728, 730}, {4}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {feats_Gender=Masc} {feats_Gender=Masc}	210	46	3066	740	48978	inf
{18} {5,24,27} {3} {18}	[{18}, {24, 27, 5}, {3}, {18}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP}	192	75	5014	740	48978	inf
{5} {3,4,5} {18}	[{5}, {3, 4, 5}, {18}]	{feats_Number=Sing} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing} {pos_ADP}	186	74	4910	740	48978	inf
{5} {4,5} {18} {5}	[{5}, {4, 5}, {18}, {5}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	190	60	4001	740	48978	inf
{3,4} {17,18,730} {5}	[{3, 4}, {17, 18, 730}, {5}]	{pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	188	54	3570	740	48978	inf
{18} {5,24,26} {26}	[{18}, {24, 26, 5}, {26}]	{pos_ADP} {feats_Number=Sing,pos_DET,feats_Gender=Fem} {feats_Gender=Fem}	210	114	7573	740	48978	inf
{4} {18} {24,27} {3}	[{4}, {18}, {24, 27}, {3}]	{feats_Gender=Masc} {pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN}	192	82	5457	740	48978	inf
{17,18,728,730} {5,24} {26}	[{728, 17, 18, 730}, {24, 5}, {26}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET} {feats_Gender=Fem}	186	69	4582	740	48978	inf
{18} {24,27} {5}	[{18}, {24, 27}, {5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {feats_Number=Sing}	460	370	24505	740	48978	inf
{18} {24} {5}	[{18}, {24}, {5}]	{pos_ADP} {pos_DET} {feats_Number=Sing}	472	379	25101	740	48978	inf
{4} {730} {5}	[{4}, {730}, {5}]	{feats_Gender=Masc} {wp_▁de} {feats_Number=Sing}	212	78	5167	740	48978	inf
{17,18,730} {4,5} {4,5}	[{17, 18, 730}, {4, 5}, {4, 5}]	{lemma_de,pos_ADP,wp_▁de} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	218	55	3645	740	48978	inf
