	motifs_int	motifs_str	k	M	f	t	T	indice
{5} {17,18,730} {5,24} {5,26}	[{5}, {17, 18, 730}, {24, 5}, {26, 5}]	{feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,pos_DET} {feats_Number=Sing,feats_Gender=Fem}	0	2	420	340	48978	-1.276127678441432
{5,24} {3,5} {18} {5} {3,5}	[{24, 5}, {3, 5}, {18}, {5}, {3, 5}]	{feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	0	2	421	340	48978	-1.2791792766324672
{5,24} {3} {18} {5} {3,5}	[{24, 5}, {3}, {18}, {5}, {3, 5}]	{feats_Number=Sing,pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	0	2	422	340	48978	-1.2822309378447125
{4} {17,18,728,730} {24}	[{4}, {728, 17, 18, 730}, {24}]	{feats_Gender=Masc} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET}	0	2	422	340	48978	-1.2822309378447125
{4} {17,18,730} {24}	[{4}, {17, 18, 730}, {24}]	{feats_Gender=Masc} {lemma_de,pos_ADP,wp_▁de} {pos_DET}	0	2	423	340	48978	-1.2852826621287263
{24} {3} {18} {5,24,27} {5,26}	[{24}, {3}, {18}, {24, 27, 5}, {26, 5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	0	2	423	340	48978	-1.2852826621287263
{3,4} {17,18} {5,26}	[{3, 4}, {17, 18}, {26, 5}]	{pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP} {feats_Number=Sing,feats_Gender=Fem}	0	2	423	340	48978	-1.2852826621287263
{730} {92} {3,26,92}	[{730}, {92}, {26, 3, 92}]	{wp_▁de} {feats_Number=Plur} {pos_NOUN,feats_Gender=Fem,feats_Number=Plur}	0	2	426	340	48978	-1.2944382134619377
{5} {5} {873,874,875,877} {17,18,728,730,878} {23,24,25,27,92,880,881} {92}	[{5}, {5}, {873, 874, 875, 877}, {878, 17, 18, 728, 730}, {880, 881, 23, 24, 25, 27, 92}, {92}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_des,pos_des,feats_des,wp_▁des} {lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les} {feats_Number=Plur}	0	2	426	340	48978	-1.2944382134619377
{5} {17,18,728,730} {24} {26}	[{5}, {728, 17, 18, 730}, {24}, {26}]	{feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET} {feats_Gender=Fem}	0	2	427	340	48978	-1.2974901900330256
{5} {5} {873,874,875,877} {17,18,728,730,878} {23,24,25,27,92,880,881}	[{5}, {5}, {873, 874, 875, 877}, {878, 17, 18, 728, 730}, {880, 881, 23, 24, 25, 27, 92}]	{feats_Number=Sing} {feats_Number=Sing} {lemma_des,pos_des,feats_des,wp_▁des} {lemma_de,pos_ADP,feats_de,wp_▁de,dep_de} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur,dep_les,wp_▁les}	0	2	427	340	48978	-1.2974901900330256
{5} {17,18} {5,24} {3,5,26}	[{5}, {17, 18}, {24, 5}, {26, 3, 5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	2	428	340	48978	-1.3005422297011613
{5} {17,18,730} {24} {26}	[{5}, {17, 18, 730}, {24}, {26}]	{feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {pos_DET} {feats_Gender=Fem}	0	2	428	340	48978	-1.3005422297011613
{18} {24,27} {3} {5,11}	[{18}, {24, 27}, {3}, {11, 5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {feats_Number=Sing,pos_ADJ}	0	2	429	340	48978	-1.3035943324663448
{3,26} {18} {5,24,27} {3,5}	[{26, 3}, {18}, {24, 27, 5}, {3, 5}]	{pos_NOUN,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing}	0	3	430	340	48978	-1.3066464982780175
{24} {3} {18} {5,24} {5,26}	[{24}, {3}, {18}, {24, 5}, {26, 5}]	{pos_DET} {pos_NOUN} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing,feats_Gender=Fem}	0	3	431	340	48978	-1.3096987272625757
{5} {17,18} {5} {3,5,26}	[{5}, {17, 18}, {5}, {26, 3, 5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	3	431	340	48978	-1.3096987272625757
{5} {17,18} {5,24,27} {5,26}	[{5}, {17, 18}, {24, 27, 5}, {26, 5}]	{feats_Number=Sing} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	0	3	433	340	48978	-1.3158033743964395
{4,5} {3,5} {18} {5}	[{4, 5}, {3, 5}, {18}, {5}]	{feats_Gender=Masc,feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	0	3	433	340	48978	-1.3158033743964395
{18} {4,5} {5} {5}	[{18}, {4, 5}, {5}, {5}]	{pos_ADP} {feats_Gender=Masc,feats_Number=Sing} {feats_Number=Sing} {feats_Number=Sing}	0	3	433	340	48978	-1.3158033743964395
{18} {24} {3,4} {17,18}	[{18}, {24}, {3, 4}, {17, 18}]	{pos_ADP} {pos_DET} {pos_NOUN,feats_Gender=Masc} {lemma_de,pos_ADP}	0	3	434	340	48978	-1.3188557926468618
{4} {3,5} {18} {5}	[{4}, {3, 5}, {18}, {5}]	{feats_Gender=Masc} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	0	3	434	340	48978	-1.3188557926468618
{4} {18} {5,23,24,25,27} {3,5,26}	[{4}, {18}, {5, 23, 24, 25, 27}, {26, 3, 5}]	{feats_Gender=Masc} {pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	3	434	340	48978	-1.3188557926468618
{17,18,728,730} {24,92} {4,92}	[{728, 17, 18, 730}, {24, 92}, {4, 92}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET,feats_Number=Plur} {feats_Gender=Masc,feats_Number=Plur}	0	3	437	340	48978	-1.3280134259298573
{17,18,728,730} {24,92} {4}	[{728, 17, 18, 730}, {24, 92}, {4}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET,feats_Number=Plur} {feats_Gender=Masc}	0	3	438	340	48978	-1.3310660965684709
{4,5} {3} {18} {5}	[{4, 5}, {3}, {18}, {5}]	{feats_Gender=Masc,feats_Number=Sing} {pos_NOUN} {pos_ADP} {feats_Number=Sing}	0	3	438	340	48978	-1.3310660965684709
