	motifs_int	motifs_str	k	M	f	t	T	indice
{4,5} {3} {105}	[{4, 5}, {3}, {105}]	{feats_Gender=Masc,feats_Number=Sing} {pos_NOUN} {pos_PUNCT}	0	3	164	894	48978	-1.3142836837701037
{3,5} {17,18} {3,26}	[{3, 5}, {17, 18}, {26, 3}]	{pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP} {pos_NOUN,feats_Gender=Fem}	0	3	164	894	48978	-1.3142836837701037
{82196} {5} {18}	[{82196}, {5}, {18}]	{wp_’} {feats_Number=Sing} {pos_ADP}	0	3	164	894	48978	-1.3142836837701037
{24,27} {3} {17,18,728,730} {5,23,24,25,27} {5}	[{24, 27}, {3}, {728, 17, 18, 730}, {5, 23, 24, 25, 27}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	3	165	894	48978	-1.322311271198316
{3,5} {17,18,728,730} {5,23,24,25,27} {5}	[{3, 5}, {728, 17, 18, 730}, {5, 23, 24, 25, 27}, {5}]	{pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	3	165	894	48978	-1.322311271198316
{3,5,26} {18} {5,24} {5}	[{26, 3, 5}, {18}, {24, 5}, {5}]	{pos_NOUN,feats_Number=Sing,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	0	3	165	894	48978	-1.322311271198316
{4} {3,5} {105}	[{4}, {3, 5}, {105}]	{feats_Gender=Masc} {pos_NOUN,feats_Number=Sing} {pos_PUNCT}	0	3	165	894	48978	-1.322311271198316
{3,5} {17,18,728,730} {5,23,24,25,27}	[{3, 5}, {728, 17, 18, 730}, {5, 23, 24, 25, 27}]	{pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	0	3	166	894	48978	-1.3303390246354678
{24,27} {3} {17,18,728,730} {5,23,24,25,27}	[{24, 27}, {3}, {728, 17, 18, 730}, {5, 23, 24, 25, 27}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	0	3	166	894	48978	-1.3303390246354678
{24,27} {3} {17,18} {5,23,24,25,27} {5}	[{24, 27}, {3}, {17, 18}, {5, 23, 24, 25, 27}, {5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	3	166	894	48978	-1.3303390246354678
{3,5,26} {18} {5,24}	[{26, 3, 5}, {18}, {24, 5}]	{pos_NOUN,feats_Number=Sing,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing,pos_DET}	0	3	167	894	48978	-1.338366944005721
{23,24,25,27} {3} {17,18} {5,24} {3,5}	[{24, 25, 27, 23}, {3}, {17, 18}, {24, 5}, {3, 5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	0	3	168	894	48978	-1.346395029410193
{3,26} {17,18} {24}	[{26, 3}, {17, 18}, {24}]	{pos_NOUN,feats_Gender=Fem} {lemma_de,pos_ADP} {pos_DET}	0	3	168	894	48978	-1.346395029410193
{24} {3} {17,18,728,730} {5,23,24,25,27} {5}	[{24}, {3}, {728, 17, 18, 730}, {5, 23, 24, 25, 27}, {5}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Number=Sing}	0	3	169	894	48978	-1.3544232808236045
{24} {3} {17,18,728,730} {5,23,24,25,27}	[{24}, {3}, {728, 17, 18, 730}, {5, 23, 24, 25, 27}]	{pos_DET} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art}	0	3	170	894	48978	-1.3624516982965138
