	motifs_int	motifs_str	k	M	f	t	T	indice
{23,24,25,27} {3} {18} {5,26}	[{24, 25, 27, 23}, {3}, {18}, {26, 5}]	{lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {pos_ADP} {feats_Number=Sing,feats_Gender=Fem}	92	13	1928	333	48978	inf
{4} {4} {18} {5} {5}	[{4}, {4}, {18}, {5}, {5}]	{feats_Gender=Masc} {feats_Gender=Masc} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	85	6	984	333	48978	inf
{18} {24,27} {3} {17,18,730} {5}	[{18}, {24, 27}, {3}, {17, 18, 730}, {5}]	{pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	101	8	1192	333	48978	inf
{24,27} {3} {17,18,728,730} {24}	[{24, 27}, {3}, {728, 17, 18, 730}, {24}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {pos_DET}	101	6	924	333	48978	inf
{3} {17,18} {5,24,27} {5,26}	[{3}, {17, 18}, {24, 27, 5}, {26, 5}]	{pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	107	9	1337	333	48978	inf
{3} {17,18,728,730} {5,24} {3,5}	[{3}, {728, 17, 18, 730}, {24, 5}, {3, 5}]	{pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing}	130	15	2273	333	48978	inf
{4} {18} {5,24,27} {5,26}	[{4}, {18}, {24, 27, 5}, {26, 5}]	{feats_Gender=Masc} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing,feats_Gender=Fem}	103	9	1408	333	48978	inf
{5} {3,5} {17,18,730} {5}	[{5}, {3, 5}, {17, 18, 730}, {5}]	{feats_Number=Sing} {pos_NOUN,feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	109	17	2544	333	48978	inf
{3,5} {18} {5,24,27} {3,5,26}	[{3, 5}, {18}, {24, 27, 5}, {26, 3, 5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	91	6	951	333	48978	inf
{24} {3} {18} {24,27} {26}	[{24}, {3}, {18}, {24, 27}, {26}]	{pos_DET} {pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art} {feats_Gender=Fem}	93	4	608	333	48978	inf
{5,24,27} {5} {17,18,730} {5}	[{24, 27, 5}, {5}, {17, 18, 730}, {5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing}	101	8	1248	333	48978	inf
{3} {17,18} {5,23,24,25,27} {3,5,26}	[{3}, {17, 18}, {5, 23, 24, 25, 27}, {26, 3, 5}]	{pos_NOUN} {lemma_de,pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	99	5	854	333	48978	inf
{26} {26} {18} {5}	[{26}, {26}, {18}, {5}]	{feats_Gender=Fem} {feats_Gender=Fem} {pos_ADP} {feats_Number=Sing}	92	17	2632	333	48978	inf
{24,27} {3} {18} {24,27} {3,26}	[{24, 27}, {3}, {18}, {24, 27}, {26, 3}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {pos_ADP} {pos_DET,feats_PronType=Art} {pos_NOUN,feats_Gender=Fem}	83	2	316	333	48978	inf
{3} {17,18,730} {5,24} {3,5,26}	[{3}, {17, 18, 730}, {24, 5}, {26, 3, 5}]	{pos_NOUN} {lemma_de,pos_ADP,wp_▁de} {feats_Number=Sing,pos_DET} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	102	5	871	333	48978	inf
{18} {5,24} {3} {17,18}	[{18}, {24, 5}, {3}, {17, 18}]	{pos_ADP} {feats_Number=Sing,pos_DET} {pos_NOUN} {lemma_de,pos_ADP}	96	19	2813	333	48978	inf
{24} {3} {18} {24} {26}	[{24}, {3}, {18}, {24}, {26}]	{pos_DET} {pos_NOUN} {pos_ADP} {pos_DET} {feats_Gender=Fem}	98	12	1768	333	48978	inf
