	motifs_int	motifs_str	k	M	f	t	T	indice
{5} {4,5} {730}	[{5}, {4, 5}, {730}]	{feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing} {wp_▁de}	0	103	1447	3493	48978	-47.223533784174485
{3,26} {18} {5} {3,5}	[{26, 3}, {18}, {5}, {3, 5}]	{pos_NOUN,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing}	0	103	1449	3493	48978	-47.28983323760489
{92} {92} {18} {24}	[{92}, {92}, {18}, {24}]	{feats_Number=Plur} {feats_Number=Plur} {pos_ADP} {pos_DET}	0	103	1450	3493	48978	-47.322984051442276
{3,26} {18} {5} {3}	[{26, 3}, {18}, {5}, {3}]	{pos_NOUN,feats_Gender=Fem} {pos_ADP} {feats_Number=Sing} {pos_NOUN}	0	103	1450	3493	48978	-47.322984051442276
{5,23,24,25,27} {3,4,5} {18}	[{5, 23, 24, 25, 27}, {3, 4, 5}, {18}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing} {pos_ADP}	0	103	1454	3493	48978	-47.45559455539384
{17,18} {5,23,24,25,27,1271} {5}	[{17, 18}, {5, 1271, 23, 24, 25, 27}, {5}]	{lemma_de,pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {feats_Number=Sing}	0	103	1454	3493	48978	-47.45559455539384
{4,5,24} {4,5} {4,5}	[{24, 4, 5}, {4, 5}, {4, 5}]	{feats_Gender=Masc,feats_Number=Sing,pos_DET} {feats_Gender=Masc,feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	0	103	1454	3493	48978	-47.45559455539384
{5,24,25,27} {3,4,5} {18}	[{24, 25, 27, 5}, {3, 4, 5}, {18}]	{feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc,feats_Number=Sing} {pos_ADP}	0	103	1455	3493	48978	-47.488748993671265
{4,24} {4} {4,5}	[{24, 4}, {4}, {4, 5}]	{feats_Gender=Masc,pos_DET} {feats_Gender=Masc} {feats_Gender=Masc,feats_Number=Sing}	0	103	1456	3493	48978	-47.5219041568822
{130} {130} {105}	[{130}, {130}, {105}]	{pos_PROPN} {pos_PROPN} {pos_PUNCT}	0	104	1457	3493	48978	-47.55506004512776
{5,23,24,25,27} {3,4} {18}	[{5, 23, 24, 25, 27}, {3, 4}, {18}]	{feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc} {pos_ADP}	0	104	1458	3493	48978	-47.588216658407944
{5,24,25,27} {3,4} {18}	[{24, 25, 27, 5}, {3, 4}, {18}]	{feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Gender=Masc} {pos_ADP}	0	104	1459	3493	48978	-47.62137399674804
{5} {4} {730}	[{5}, {4}, {730}]	{feats_Number=Sing} {feats_Gender=Masc} {wp_▁de}	0	104	1460	3493	48978	-47.654532060148036
{18} {5,23,24,25,27,1271} {3,5,26}	[{18}, {5, 1271, 23, 24, 25, 27}, {26, 3, 5}]	{pos_ADP} {feats_Number=Sing,lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,wp_▁l} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	0	104	1467	3493	48978	-47.88665880959423
{5,24,27} {3,5} {18} {26}	[{24, 27, 5}, {3, 5}, {18}, {26}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Gender=Fem}	0	104	1467	3493	48978	-47.88665880959423
{24,27} {3,5} {18} {26}	[{24, 27}, {3, 5}, {18}, {26}]	{pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Gender=Fem}	0	104	1468	3493	48978	-47.91982267499023
{5,24,27} {3,5} {18} {5,24}	[{24, 27, 5}, {3, 5}, {18}, {24, 5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET}	0	104	1469	3493	48978	-47.95298726569893
