	motifs_int	motifs_str	k	M	f	t	T	indice
{5,24} {5} {18} {5}	[{24, 5}, {5}, {18}, {5}]	{feats_Number=Sing,pos_DET} {feats_Number=Sing} {pos_ADP} {feats_Number=Sing}	394	218	6984	1531	48978	inf
{24,25,27} {26} {26}	[{24, 25, 27}, {26}, {26}]	{pos_DET,feats_Definite=Def,feats_PronType=Art} {feats_Gender=Fem} {feats_Gender=Fem}	397	128	4110	1531	48978	inf
{24,27} {3} {17,18,728,730}	[{24, 27}, {3}, {728, 17, 18, 730}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de}	459	326	10431	1531	48978	inf
{24,27} {4} {4}	[{24, 27}, {4}, {4}]	{pos_DET,feats_PronType=Art} {feats_Gender=Masc} {feats_Gender=Masc}	471	208	6660	1531	48978	inf
{26} {5} {18}	[{26}, {5}, {18}]	{feats_Gender=Fem} {feats_Number=Sing} {pos_ADP}	396	175	5617	1531	48978	inf
{5} {18} {5,24,27} {5}	[{5}, {18}, {24, 27, 5}, {5}]	{feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing}	520	350	11193	1531	48978	inf
{5} {5} {4,5}	[{5}, {5}, {4, 5}]	{feats_Number=Sing} {feats_Number=Sing} {feats_Gender=Masc,feats_Number=Sing}	465	224	7181	1531	48978	inf
{5} {5} {4}	[{5}, {5}, {4}]	{feats_Number=Sing} {feats_Number=Sing} {feats_Gender=Masc}	467	228	7299	1531	48978	inf
{17,18} {24,92} {92}	[{17, 18}, {24, 92}, {92}]	{lemma_de,pos_ADP} {pos_DET,feats_Number=Plur} {feats_Number=Plur}	392	212	6802	1531	48978	inf
{5,24} {3} {5}	[{24, 5}, {3}, {5}]	{feats_Number=Sing,pos_DET} {pos_NOUN} {feats_Number=Sing}	530	294	9404	1531	48978	inf
{17,18} {5} {3,5,26}	[{17, 18}, {5}, {26, 3, 5}]	{lemma_de,pos_ADP} {feats_Number=Sing} {pos_NOUN,feats_Number=Sing,feats_Gender=Fem}	392	170	5448	1531	48978	inf
{730} {92} {3}	[{730}, {92}, {3}]	{wp_▁de} {feats_Number=Plur} {pos_NOUN}	407	210	6720	1531	48978	inf
{5,24,25,27} {3,5} {5}	[{24, 25, 27, 5}, {3, 5}, {5}]	{feats_Number=Sing,pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN,feats_Number=Sing} {feats_Number=Sing}	397	179	5728	1531	48978	inf
{17,18,728,730} {5} {5,26}	[{728, 17, 18, 730}, {5}, {26, 5}]	{lemma_de,pos_ADP,feats_de,wp_▁de} {feats_Number=Sing} {feats_Number=Sing,feats_Gender=Fem}	389	182	5837	1531	48978	inf
{3,5} {18} {5,24,27}	[{3, 5}, {18}, {24, 27, 5}]	{pos_NOUN,feats_Number=Sing} {pos_ADP} {feats_Number=Sing,pos_DET,feats_PronType=Art}	390	165	5301	1531	48978	inf
{5,24,27} {5} {5,11}	[{24, 27, 5}, {5}, {11, 5}]	{feats_Number=Sing,pos_DET,feats_PronType=Art} {feats_Number=Sing} {feats_Number=Sing,pos_ADJ}	413	168	5385	1531	48978	inf
{24,25,27} {3} {17,18,728,730}	[{24, 25, 27}, {3}, {728, 17, 18, 730}]	{pos_DET,feats_Definite=Def,feats_PronType=Art} {pos_NOUN} {lemma_de,pos_ADP,feats_de,wp_▁de}	416	234	7507	1531	48978	inf
{18} {23,24,25,27,92} {3}	[{18}, {23, 24, 25, 27, 92}, {3}]	{pos_ADP} {lemma_le,pos_DET,feats_Definite=Def,feats_PronType=Art,feats_Number=Plur} {pos_NOUN}	454	342	10948	1531	48978	inf
{24} {3} {26}	[{24}, {3}, {26}]	{pos_DET} {pos_NOUN} {feats_Gender=Fem}	466	213	6825	1531	48978	inf
{24,27} {3} {5,11}	[{24, 27}, {3}, {11, 5}]	{pos_DET,feats_PronType=Art} {pos_NOUN} {feats_Number=Sing,pos_ADJ}	417	154	4923	1531	48978	inf
{26} {18} {5,24} {5}	[{26}, {18}, {24, 5}, {5}]	{feats_Gender=Fem} {pos_ADP} {feats_Number=Sing,pos_DET} {feats_Number=Sing}	410	212	6808	1531	48978	inf
{4} {18} {5} {5}	[{4}, {18}, {5}, {5}]	{feats_Gender=Masc} {pos_ADP} {feats_Number=Sing} {feats_Number=Sing}	419	263	8431	1531	48978	inf
{5} {18} {26}	[{5}, {18}, {26}]	{feats_Number=Sing} {pos_ADP} {feats_Gender=Fem}	474	353	11311	1531	48978	inf
{18} {92} {4}	[{18}, {92}, {4}]	{pos_ADP} {feats_Number=Plur} {feats_Gender=Masc}	415	212	6782	1531	48978	inf
{24,27} {26} {11,26}	[{24, 27}, {26}, {26, 11}]	{pos_DET,feats_PronType=Art} {feats_Gender=Fem} {pos_ADJ,feats_Gender=Fem}	389	138	4427	1531	48978	inf
{5} {4} {105}	[{5}, {4}, {105}]	{feats_Number=Sing} {feats_Gender=Masc} {pos_PUNCT}	448	202	6489	1531	48978	inf
